track_id,track_name,artist_name,danceability,energy,valence,speechiness,acousticness,instrumentalness,liveness,tempo,loudness
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,0.735826296743064,0.7134955752212389,0.8259583665112047,0.01405709342560553,0.2636300635824632,0.0,0.11300639658848616,0.3265643984340029,0.8942935611840096
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,0.6091676718938481,0.7201327433628317,0.37322261403708346,0.02919550173010381,0.05261815724827464,0.16881594372801875,0.18123667377398722,0.1700783709082641,0.7382361916386938
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,0.5211097708082026,0.5088495575221239,0.14344215675122285,0.009299307958477512,0.4575711167953124,0.00943728018757327,0.41009239516702206,0.476115701892128,0.44125724748245343
6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,PinkPantheress,0.6718938480096501,0.8019911504424778,0.8725969741781368,0.0527681660899654,0.2545390767131109,0.0001500586166471278,0.3049040511727079,0.4825814794551693,0.5852303936527311
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,0.6960193003618818,0.5851769911504424,0.07632806279149132,0.05752595155709343,0.3949443183619965,0.0,0.06794598436389479,0.23355667502717753,0.7216966737870001
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,0.4981905910735827,0.6836283185840707,0.5393015584120122,0.2841695501730104,0.11817427367282629,2.4150058616647127e-05,0.10163468372423595,0.7457031000206054,0.7406774488861763
2i2gDpKKWjvnRTOZRhaPh2,Moonlight,Kali Uchis,0.6043425814234018,0.7024336283185839,0.9089978386986691,0.056228373702422146,0.48181374844691854,0.0,0.17981520966595593,0.5097803767203586,0.6952090326518156
1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,0.44511459589867314,0.3827433628318584,0.2662950745080196,0.01708477508650519,0.838382455655959,0.0005169988276670575,0.0845771144278607,0.4621752012562082,0.5107110161733291
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",0.5054282267792523,0.5254424778761062,0.603003071322944,0.15203287197231835,0.37474212531899137,8.780773739742088e-06,0.10732054015636106,0.09602745468626767,0.5261519682636557
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,0.5898673100120628,0.4856194690265486,0.3709475600045501,0.14922145328719727,0.708078310528576,0.003212192262602579,0.263681592039801,0.7456178370197739,0.5819957277998168
