track_id,track_name,artist_name,danceability,energy,valence,speechiness
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SZA,0.358,0.284,0.276,0.0285
4P9Q0GojKVXpRTJCaL3kyy,All Of The Girls You Loved Before,Taylor Swift,0.729,0.467,0.401,0.0419
3iHzKA9HlXf5wsGdsrsnSA,Forget Me,Lewis Capaldi,0.451,0.754,0.674,0.0864
6iF4RgIjDvDqyW13PezSj3,Single Soon,Selena Gomez,0.61,0.571,0.747,0.0782
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,0.52,0.731,0.662,0.0557
3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin,0.629,0.733,0.362,0.0419
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,Jung Kook,0.711,0.809,0.816,0.0955
3r8RuvgbX9s7ammBn07D3W,Ditto,NewJeans,0.814,0.641,0.183,0.111
0Nfh4u0J4bajcyp5pzaWCx,Used To Be Young,Miley Cyrus,0.626,0.63,0.421,0.0377
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,0.633,0.648,0.49,0.062
56xHMIfQPoe0prrSi3BGhf,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,0.409,0.347,0.199,0.0359
6pD0ufEQq0xdHSsRbg9LBK,un x100to,Grupo Frontera,0.569,0.724,0.562,0.0474
7ABLbnD53cQK00mhcaOUVG,LALA,Myke Towers,0.708,0.737,0.607,0.0436
5AqiaZwhmC6dIbgWrD5SzV,"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,0.785,0.726,0.622,0.0372
609E1JCInJncactoMmkDon,BESO,ROSALÍA,0.768,0.644,0.53,0.136
6T7FXSuXykeGktMLGp8WgE,All My Life (feat. J. Cole),Lil Durk,0.787,0.57,0.733,0.225
0yUaLqhsVsguBpoOPL4cO7,In Ha Mood,Ice Spice,0.767,0.722,0.52,0.31
4VMRsbfZzd3SfQtaJ1Wpwi,Double Fantasy (with Future),The Weeknd,0.613,0.573,0.124,0.0345
3zkyus0njMCL6phZmNNEeN,LET GO,Central Cee,0.747,0.413,0.481,0.488
1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,Loreen,0.545,0.779,0.303,0.0751
2NbsBSshscKIPRG3kwBbfo,Never Felt So Alone,Labrinth,0.436,0.409,0.363,0.0533
4FAKtPVycI4DxoOHC01YqD,Yandel 150,Yandel,0.783,0.729,0.58,0.0691
2mnXxnrX5vCGolNkaFvVeM,La Jumpa,Arcángel,0.713,0.703,0.576,0.194
6XbtvPmIpyCbjuT0e8cQtp,Columbia,Quevedo,0.668,0.712,0.264,0.0381
6UN73IYd0hZxLi8wFPMQij,Players,Coi Leray,0.948,0.512,0.599,0.146
3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,David Guetta,0.602,0.91,0.228,0.0308
6OfOzTitafSnsaunQLuNFw,DOGTOOTH,"Tyler, The Creator",0.706,0.648,0.802,0.324
37CoOXIsgF3NzbK1zHZetk,Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike,0.759,0.646,0.445,0.12
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,0.712,0.603,0.67,0.0262
6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),Jung Kook,0.853,0.824,0.888,0.103
7dJYggqjKo71KI9sLzqCs8,Agora Hills,Doja Cat,0.75,0.674,0.392,0.097
73RbfOTJIjHzi2pcVHjeHM,What It Is (Solo Version),Doechii,0.74,0.758,0.757,0.0921
3XB5uhhlYSnkxpSihkNQwh,QLONA,KAROL G,0.843,0.741,0.45,0.293
4sx6NRwL6Ol3V6m9exwGlQ,LOVE AGAIN,The Kid LAROI,0.584,0.455,0.367,0.0276
11xC6P3iKYpFThT6Ce1KdG,Attention,Doja Cat,0.759,0.567,0.421,0.248
1EryAkZ0VHstC6haIxVBiE,Sextape,Deftones,0.367,0.634,0.0964,0.027
5Qv2Nby1xTr9pQyjkrc94J,All I Need,Radiohead,0.67,0.478,0.0997,0.0355
3zxl2eBNz34tGizbLYES8N,"Goodnight, God Bless, I Love U, Delete.",✝✝✝ (Crosses),0.646,0.735,0.341,0.0448
0eQS5ODoW5kOAyJjYuF7Q3,Grace,✝✝✝ (Crosses),0.359,0.586,0.178,0.0487
3trPuoohUKhdmOFFYkg5y2,Ghost Ride,✝✝✝ (Crosses),0.577,0.728,0.103,0.0856
